	frequency	amplitude
4	7766.9902912621355	0.31820426745550096
5	9708.73786407767	0.5819268373649122
6	11650.485436893203	0.3033195387046027
7	13592.233009708738	0.47469494111505023
8	15533.980582524271	0.7926116871183972
9	17475.728155339806	0.3993733331141961
10	19417.47572815534	0.46943450520019225
11	21359.223300970873	0.7608825630781522
12	23300.970873786406	0.4978129019538649
13	25242.71844660194	1.2640110250955632
14	27184.466019417476	1.0835064056112735
15	29126.21359223301	1.476905824336775
16	31067.961165048542	1.8867461104581464
17	33009.70873786408	2.4335993365389514
18	34951.45631067961	2.669704524219813
19	36893.203883495145	3.7034301840758173
20	38834.95145631068	5.807091315465328
21	40776.69902912621	9.113995317766681
22	42718.446601941745	12.366576264899686
23	44660.19417475728	9.342826946828223
24	46601.94174757281	5.83897734988802
25	48543.689320388345	4.500517198295464
26	50485.43689320388	3.451753400206938
27	52427.18446601942	2.888718570085184
28	54368.93203883495	2.2700284673134465
29	56310.679611650485	2.0380403860827228
30	58252.42718446602	2.06934446251712
31	60194.17475728155	1.8398860281270888
32	62135.922330097084	1.7336835377417814
33	64077.66990291262	1.6062031105043166
34	66019.41747572816	1.37891196797512
35	67961.16504854368	1.4196113850785685
36	69902.91262135922	1.3972810769770996
37	71844.66019417475	1.0614718743185034
38	73786.40776699029	1.1915426665946074
39	75728.15533980582	0.7490906030279655
40	77669.90291262136	0.7876497504334136
41	79611.65048543688	0.790098569988921
42	81553.39805825242	1.136146799905665
43	83495.14563106796	0.908657074801334
44	85436.89320388349	0.7126430949865655
45	87378.64077669903	0.891337356580811
46	89320.38834951456	0.7532005982036126
47	91262.1359223301	0.6679861516348254
48	93203.88349514562	0.6318333289999778
49	95145.63106796116	0.8285574401436367
50	97087.37864077669	1.0098032890996145
51	99029.12621359223	0.7595754826755579
