	Frequency	Amplituded
0	7766.9902912621355	0.8987170578081886
1	7858.3437806738775	0.8993707041708825
2	7949.6972700856195	0.9000294100460229
3	8041.050759497361	0.9006932275784969
4	8132.4042489091025	0.9013622095839777
5	8223.757738320845	0.9020364095592627
6	8315.111227732586	0.9027158816927972
7	8406.464717144328	0.9034006808753878
8	8497.81820655607	0.9040908627111088
9	8589.171695967812	0.9047864835284062
10	8680.525185379554	0.9054876003914017
11	8771.878674791296	0.9061942711114046
12	8863.232164203037	0.9069065542586304
13	8954.58565361478	0.9076245091741366
14	9045.93914302652	0.908348195981974
15	9137.292632438262	0.9090776756015639
16	9228.646121850004	0.9098130097603008
17	9319.999611261746	0.9105542610063891
18	9411.353100673488	0.9113014927219167
19	9502.70659008523	0.9120547691361715
20	9594.060079496972	0.912814155339204
21	9685.413568908714	0.9135797172956451
22	9776.767058320456	0.9143515218587804
23	9868.120547732198	0.9151296367848887
24	9959.47403714394	0.9159141307478493
25	10050.82752655568	0.9167050733540262
26	10142.181015967424	0.9175025351574309
27	10233.534505379164	0.9183065876751737
28	10324.887994790906	0.9191173034032087
29	10416.241484202648	0.9199347558323772
30	10507.59497361439	0.9207590194647571
31	10598.948463026132	0.9215901698303276
32	10690.301952437874	0.9224282835039495
33	10781.655441849616	0.9232734381226756
34	10873.008931261358	0.9241257124033931
35	10964.3624206731	0.9249851861608076
36	11055.715910084842	0.9258519403257751
37	11147.069399496584	0.9267260569639911
38	11238.422888908324	0.9276076192950438
39	11329.776378320068	0.9284967117118387
40	11421.129867731808	0.9293934198004049
41	11512.48335714355	0.9302978303600898
42	11603.836846555292	0.9312100314241519
43	11695.190335967034	0.9321301122807601
44	11786.543825378776	0.9330581634944091
45	11877.897314790518	0.9339942769277593
46	11969.25080420226	0.9349385457639132
47	12060.604293614002	0.9358910645291346
48	12151.957783025744	0.9368519291160246
49	12243.311272437484	0.9378212368071602
50	12334.664761849228	0.9387990862992128
51	12426.018251260968	0.9397855777275488
52	12517.371740672712	0.940780812691332
53	12608.725230084452	0.9417848942791331
54	12700.078719496196	0.9427979270950626
55	12791.432208907936	0.9438200172854339
56	12882.785698319678	0.9448512725659759
57	12974.13918773142	0.9458918022496013
58	13065.492677143162	0.9469417172747474
59	13156.846166554904	0.9480011302343018
60	13248.199655966646	0.9490701554051271
61	13339.553145378388	0.9501489087781975
62	13430.906634790128	0.9512375080893638
63	13522.260124201872	0.9523360728507595
64	13613.613613613612	0.9534447243828652
65	13704.967103025356	0.954563585847245
66	13796.320592437096	0.9556927822799736
67	13887.67408184884	0.9568324406257676
68	13979.02757126058	0.9579826897728405
69	14070.381060672322	0.9591436605884972
70	14161.734550084064	0.9603154859554865
71	14253.088039495806	0.9614983008091303
72	14344.441528907548	0.9626922421752481
73	14435.79501831929	0.9638974492088952
74	14527.148507731032	0.9651140632339369
75	14618.501997142772	0.9663422277834759
76	14709.855486554516	0.9675820886411579
77	14801.208975966256	0.9688337938833727
78	14892.562465378	0.9700974939223767
79	14983.91595478974	0.971373341550357
80	15075.269444201484	0.9726614919844631
81	15166.622933613224	0.973962102912826
82	15257.976423024966	0.9752753345415962
83	15349.329912436708	0.9766013496430184
84	15440.68340184845	0.9779403136045756
85	15532.036891260192	0.9792923944792251
86	15623.390380671934	0.980657763036757
87	15714.743870083676	0.9820365928163013
88	15806.097359495416	0.9834290601800149
89	15897.45084890716	0.9848353443679777
90	15988.8043383189	0.9862556275543278
91	16080.157827730643	0.9876900949046705
92	16171.511317142384	0.9891389346347901
93	16262.864806554127	0.9906023380707019
94	16354.218295965868	0.9920804997100761
95	16445.57178537761	0.9935736172850717
96	16536.92527478935	0.9950818918266151
97	16628.27876420109	0.9966055277301632
98	16719.632253612835	0.9981447328229875
99	16810.985743024576	0.9996997184330225
100	16902.33923243632	1.0012706994593161
101	16993.69272184806	1.0028578944441273
102	17085.046211259803	1.004461525646714
103	17176.399700671544	1.0060818191188539
104	17267.753190083287	1.0077190047821496
105	17359.106679495027	1.0093733165071603
106	17450.46016890677	1.0110449921944127
107	17541.81365831851	1.0127342738573415
108	17633.167147730255	1.0144414077072093
109	17724.520637141995	1.0161666442400628
110	17815.874126553736	1.017910238325779
111	17907.22761596548	1.019672449299258
112	17998.58110537722	1.0214535410538226
113	18089.934594788963	1.0232537821368846
114	18181.288084200703	1.0250734458479398
115	18272.641573612447	1.0269128103389582
116	18363.995063024187	1.0287721587172318
117	18455.34855243593	1.0306517791507528
118	18546.70204184767	1.0325519649761905
119	18638.055531259415	1.0344730148095398
120	18729.409020671155	1.036415232659516
121	18820.7625100829	1.0383789280437754
122	18912.11599949464	1.0403644161080394
123	19003.46948890638	1.0423720177482032
124	19094.822978318123	1.0444020597355201
125	19186.176467729863	1.0464548748449407
126	19277.529957141607	1.0485308019867041
127	19368.883446553347	1.0506301863412717
128	19460.23693596509	1.0527533794977004
129	19551.59042537683	1.0549007395955523
130	19642.943914788575	1.05707263147045
131	19734.297404200315	1.0592694268033749
132	19825.65089361206	1.0614915042738255
133	19917.0043830238	1.0637392497169424
134	20008.357872435543	1.066013056284723
135	20099.711361847283	1.0683133246114387
136	20191.064851259023	1.0706404629833874
137	20282.418340670767	1.0729948875131041
138	20373.771830082507	1.0753770223181618
139	20465.12531949425	1.0777872997047062
140	20556.47880890599	1.0802261603558576
141	20647.832298317735	1.082694053525135
142	20739.185787729475	1.0851914372350442
143	20830.53927714122	1.0877187784809963
144	20921.89276655296	1.0902765534407104
145	21013.246255964703	1.092865247689273
146	21104.599745376443	1.0954853564200226
