2.58E-5	67	71	4757	1.0597	32.24558	0	-1.57605	-0.39233
2.64E-5	65	75	4875	1.15385	34.06224	0	-1.78223	-0.59955
2.7E-5	64	77	4928	1.20313	34.97056	0	-1.32294	-0.13123
2.76E-5	62	79	4898	1.27419	35.87889	0	-1.20551	-0.25311
2.82E-5	61	80	4880	1.31147	36.33305	0	-1.14008	-0.65137
2.88E-5	60	81	4860	1.35	36.78722	0	-1.15918	-0.4032
2.94E-5	60	82	4920	1.36667	37.24138	0	-1.27618	-0.30731
3E-5	59	83	4897	1.40678	37.24138	0	-0.85138	-0.44434
3.06E-5	60	83	4980	1.38333	37.69554	0	-0.5058	-0.17377
3.12E-5	61	83	5063	1.36066	37.69554	0	-0.05811	-0.80194
3.18E-5	62	82	5084	1.32258	37.24138	0	0.44531	-0.42395
3.24E-5	62	80	4960	1.29032	36.33305	0	0.11267	-0.62793
3.3E-5	63	78	4914	1.23809	35.42473	0	0.65063	-0.21899
3.36E-5	64	76	4864	1.1875	34.5164	0	0.56317	-0.69196
3.42E-5	65	73	4745	1.12308	33.15391	0	0.01678	-0.659
3.48E-5	67	70	4690	1.04478	31.79142	0	-0.78455	-0.52332
3.54E-5	68	67	4556	0.98529	30.42893	0	-0.34924	-0.11328
3.6E-5	69	65	4485	0.94203	29.52061	0	-0.53717	-0.64819
3.66E-5	70	62	4340	0.88571	28.15812	0	-0.72485	-0.50146
3.72E-5	71	60	4260	0.84507	27.24979	0	-1.04968	-0.31018
3.78E-5	72	58	4176	0.80556	26.34146	0	-1.52039	-0.49774
3.84E-5	73	57	4161	0.78082	25.8873	0	-1.60419	-0.0542
3.9E-5	74	56	4144	0.75676	25.43314	0	-0.99847	-0.27411
3.96E-5	73	56	4088	0.76712	25.43314	0	-0.79962	-0.43323
4.02E-5	73	56	4088	0.76712	25.43314	0	-0.40149	-0.36401
4.08E-5	73	58	4234	0.79452	26.34146	0	0.0119	-0.53503
4.14E-5	72	59	4248	0.81944	26.79563	0	-0.09534	-0.39178
4.2E-5	71	61	4331	0.85915	27.70395	0	0.21051	0.02374
4.26E-5	70	63	4410	0.9	28.61228	0	-0.12103	-0.53625
4.32E-5	68	64	4352	0.94118	29.06644	0	-0.09174	-0.48895
4.38E-5	68	67	4556	0.98529	30.42893	0	-0.37451	-0.67786
4.44E-5	67	69	4623	1.02985	31.33726	0	-0.65161	-0.45557
4.5E-5	65	71	4615	1.09231	32.24558	0	-0.69342	-0.46429
4.56E-5	65	73	4745	1.12308	33.15391	0	-0.49115	-0.6131
4.62E-5	64	75	4800	1.17188	34.06224	0	-0.42834	-0.3493
4.68E-5	64	76	4864	1.1875	34.5164	0	-1.04981	-0.2179
4.74E-5	63	77	4851	1.22222	34.97056	0	-0.58386	-0.41876
4.8E-5	63	77	4851	1.22222	34.97056	0	-0.79919	-0.3504
4.86E-5	63	77	4851	1.22222	34.97056	0	-0.89551	-0.40521
4.92E-5	63	77	4851	1.22222	34.97056	0	-0.5838	-0.4693
4.98E-5	63	77	4851	1.22222	34.97056	0	-0.25281	-0.62909
